写景,山水,黄河,励志,哲理 白日依山尽，黄河入海流。欲穷千里目，更上一层楼。
送别,写人 镇日无心扫黛眉，临行愁见理征衣。尊前只恐伤郎意，阁泪汪汪不敢垂。停宝马，捧瑶卮，相斟相劝忍分离？不如饮待奴先醉，图得不知郎去时。
思念 自君之出矣，宝镜为谁明？思君如陇水，长闻呜咽声。
咏物,写花 夹岸复连沙，枝枝摇浪花。月明浑似雪，无处认渔家。
抒情 一径沿崖踏苍壁，半坞寒云抱泉石。山翁酒熟不出门，残花满地无人迹。
婉约,写景 一曲危弦断客肠。津桥捩柂转牙樯。江心云带蒲帆重，楼上风吹粉泪香。瑶草碧，柳芽黄。载将离恨过潇湘。请君看取东流水，方识人间别意长。
婉约,春天 春风只在园西畔。荠菜花繁胡蝶乱。冰池晴绿照还空，香径落红吹已断。意长翻恨游丝短。尽日相思罗带缓。宝奁明月不欺人，明日归来君试看。
春天,写景 拍堤春水蘸垂杨，水流花片香。弄花噆柳小鸳鸯，一双随一双。帘半卷，露新妆，春衫是柳黄。倚阑看处背斜阳，风流暗断肠。
婉约,秋天,离别 征鸿过尽秋容谢。卷离恨、还东下。剪剪霜风落平野。溪山掩映，水烟摇曳，几簇渔樵舍。芙蓉城里人如画。春伴春游夜转夜。别后知他如何也。心随云乱，眼随天断，泪逐长江泻。
咏物 怨粉愁香绕砌多，大风一起奈卿何。乌江夜雨天涯满，休向花前唱楚歌。
闺怨 花深深。柳阴阴。度柳穿花觅信音。君心负妾心。怨呜琴。恨孤衾。钿誓钗盟何处寻。当初谁料今。
春天 迟日园林悲昔游，今春花鸟作边愁。独怜京国人南窜，不似湘江水北流。
山水,咏史怀古,思乡 旅客三秋至，层城四望开。楚山横地出，汉水接天回。冠盖非新里，章华即旧台。习池风景异，归路满尘埃。
写景,思乡 交趾殊风候，寒迟暖复催。仲冬山果熟，正月野花开。积雨生昏雾，轻霜下震雷。故乡逾万里，客思倍从来。
送别 君王行出将，书记远从征。祖帐连河阙，军麾动洛城。旌旃朝朔气，笳吹夜边声。坐觉烟尘扫，秋风古北平。
咏物 北斗挂城边，南山倚殿前。云标金阙迥，树杪玉堂悬。半岭通佳气，中峰绕瑞烟。小臣持献寿，长此戴尧天。
咏物,梅花 一片能教一断肠，可堪平砌更堆墙。飘如迁客来过岭，坠似骚人去赴湘。乱点莓苔多莫数，偶粘衣袖久犹香。东风谬掌花权柄，却忌孤高不主张。
离别,写人,抒情 束缊宵行十里强。挑得诗囊，抛了衣囊。天寒路滑马蹄僵，元是王郎，来送刘郎。酒酣耳热说文章。惊倒邻墙，推倒胡床。旁观拍手笑疏狂。疏又何妨，狂又何妨？
婉约,写花 曾看洛阳旧谱，只许姚黄独步。若比广陵花，太亏他。旧日王侯园圃，今日荆榛狐兔。君莫说中州，怕花愁。
爱国,抒情 试说东都事，添人白发多。寝园残石马，废殿泣铜驼。胡运占难久，边情听易讹。凄凉旧京女，妆髻尚宣和。
春天,写景,咏物,写鸟 掷柳迁乔太有情，交交时作弄机声。洛阳三月花如锦，多少工夫织得成。
爱国,抒情 十口同离仳，今成独雁飞。饥锄荒寺菜，贫着陷蕃衣。甲第歌钟沸，沙场探骑稀。老身闽地死，不见翠銮归。
豪放,写花 片片蝶衣轻，点点猩红小。道是天公不惜花，百种千般巧。朝见树头繁，暮见枝头少。道是天公果惜花，雨洗风吹了。
写花,梅花 一片能教一断肠，可堪平砌更堆墙？飘如迁客来过岭，坠似骚人去赴湘。乱点莓苔多莫数，偶粘衣袖久犹香。东风谬掌花权柄，却忌孤高不主张。
写景 寂寞边城道，春深不见花。山头堆白雪，风里卷黄沙。计拙心惟赤，愁长鬓已华。晋云连塞草，回首各天涯。
写花 无语与花别，细看枝上红。明年又相见，还恐是愁中。
山水 烟波不动影沉沉，碧色全无翠色深。疑是水仙梳洗处，一螺青黛镜中心。
秋天,写景 满庭诗境飘红叶，绕砌琴声滴暗泉。门外晚晴秋色老，万条寒玉一溪烟。
送别 从来只有情难尽，何事名为情尽桥。自此改名为折柳，任他离恨一条条。
春天 津桥春水浸红霞，烟柳风丝拂岸斜。翠辇不来金殿闭，宫莺衔出上阳花。
抒情,思乡 五柳先生本在山，偶然为客落人间。秋来见月多归思，自起开笼放白鹇。
春天,思乡 剑南风景腊前春，山鸟江风得雨新。莫怪送君行较远，自缘身是忆归人。
婉约 翠柏红梅围小坐，岁筵未是全贫。蜡鹅花下烛如银。钗符金胜，又见一家春。自写好宜祛百病，非官非隐闲身。屠苏醉醒已三更。一声鸡唱，五十六年人。
抒情 落花已作风前舞。又送黄昏雨。晓来庭院半残红。惟有游丝千丈、罥晴空。殷勤花下同携手。更尽杯中酒。美人不用敛蛾眉。我亦多情无奈、酒阑时。
思乡,写景 客舟系缆柳阴旁，湖影侵篷夜气凉。万顷波光摇月碎，一天风露藕花香。
闺怨 人生若只如初见，何事秋风悲画扇。等闲变却故人心，却道故人心易变。骊山语罢清宵半，泪雨霖铃终不怨。何如薄幸锦衣郎，比翼连枝当日愿。
离别 曲阑深处重相见，匀泪偎人颤。凄凉别后两应同，最是不胜清怨月明中。半生已分孤眠过，山枕檀痕涴。忆来何事最销魂，第一折枝花样画罗裙。
悼亡,写景 风絮飘残已化萍，泥莲刚倩藕丝萦。珍重别拈香一瓣，记前生。人到情多情转薄，而今真个不多情。又到断肠回首处，泪偷零。
边塞,写景 深秋绝塞谁相忆，木叶萧萧。乡路迢迢。六曲屏山和梦遥。佳时倍惜风光别，不为登高。只觉魂销。南雁归时更寂寥。
悼亡 泪咽却无声，只向从前悔薄情。凭仗丹青重省识，盈盈，一片伤心画不成。别语忒分明，午夜鹣鹣梦早醒。卿自早醒侬自梦，更更，泣尽风檐夜雨铃。
思念 朔风吹散三更雪，倩魂犹恋桃花月。梦好莫催醒，由他好处行。无端听画角，枕畔红冰薄。塞马一声嘶，残星拂大旗。
爱情,思念 风鬟雨鬓，偏是来无准。倦倚玉兰看月晕，容易语低香近。软风吹遍窗纱，心期便隔天涯。从此伤春伤别，黄昏只对梨花。
爱情 银床淅沥青梧老，屧粉秋蛩扫。采香行处蹙连钱，拾得翠翘何恨不能言。回廊一寸相思地，落月成孤倚。背灯和月就花阴，已是十年踪迹十年心。
思念 问君何事轻离别，一年能几团圆月。杨柳乍如丝，故园春尽时。春归归不得，两桨松花隔。旧事逐寒潮，啼鹃恨未消。
思乡 万帐穹庐人醉，星影摇摇欲坠，归梦隔狼河，又被河声搅碎。还睡、还睡，解道醒来无味。
秋天 夜雨做成秋，恰上心头。教他珍重护风流。端的为谁添病也，更为谁羞。密意未曾休，密愿难酬。珠帘四卷月当楼。暗忆欢期真似梦，梦也须留。
写景 山色江声共寂寥，十三陵树晚萧萧。中原事业如江左，芳草何须怨六朝。
咏物,月亮,写景 初八月，半镜上青霄。斜倚画阑娇不语，暗移梅影过红桥，裙带北风飘。
写雨,抒情 点滴芭蕉心欲碎，声声催忆当初。欲眠还展旧时书。鸳鸯小字，犹记手生疏。倦眼乍低缃帙乱，重看一半模糊。幽窗冷雨一灯孤。料应情尽，还道有情无？
春天,写景 丝雨如尘云著水，嫣香碎拾吴宫。百花冷暖避东风。酷怜娇易散，燕子学偎红。人说病宜随月减，恹恹却与春同。可能留蝶抱花丛。不成双梦影，翻笑杏梁空。
写花,爱情 春情只到梨花薄，片片催零落。夕阳何事近黄昏，不道人间犹有未招魂。银笺别梦当时句，密绾同心苣。为伊判作梦中人，索向画图清夜唤真真。
写景,抒情 昨夜个人曾有约，严城玉漏三更。一钩新月几疏星。夜阑犹未寝，人静鼠窥灯。原是瞿唐风间阻，错教人恨无情。小阑干外寂无声。几回肠断处，风动护花铃。
离别,抒情 烟暖雨初收，落尽繁花小院幽。摘得一双红豆子，低头，说著分携泪暗流。人去似春休，卮酒曾将酹石尤。别自有人桃叶渡，扁舟，一种烟波各自愁。
写花,写景,抒情,思念 谁道飘零不可怜，旧游时节好花天。断肠人去自经年。一片晕红才著雨，几丝柔绿乍和烟。倩魂销尽夕阳前。
咏物,柳树 娇软不胜垂，瘦怯那禁舞。多事年年二月风，翦出鹅黄缕。一种可怜生，落日和烟雨。苏小门前长短条，即渐迷行处。
咏物,写鸟 何处金衣客，栖栖翠幙中。有心惊晓梦，无计啭春风。漫逐梁间燕，谁巢井上桐。空将云路翼，缄恨在雕笼。
冬天,写景 惊飙掠地冬将半，解鞍正值昏鸦乱。冰合大河流，茫茫一片愁。烧痕空极望，鼓角高城上。明日近长安，客心愁未阑。
夏天 谢却荼蘼，一片月明如水。篆香消，犹未睡，早鸦啼。嫩寒无赖罗衣薄，休傍阑干角。最愁人，灯欲落，雁还飞。
咏物,写景,抒情 林下荒苔道韫家，生怜玉骨委尘沙。愁向风前无处说，数归鸦。半世浮萍随逝水，一宵冷雨葬名花。魂是柳绵吹欲碎，绕天涯。
边塞,抒情 别绪如丝梦不成，那堪孤枕梦边城。因听紫塞三更雨，却忆红楼半夜灯。书郑重，恨分明，天将愁味酿多情。起来呵手封题处，偏到鸳鸯两字冰。
写景,抒情,思念 谢家庭院残更立，燕宿雕梁。月度银墙，不辨花丛那辨香。此情已自成追忆，零落鸳鸯。雨歇微凉，十一年前梦一场。
写雨,抒情,思念 黄叶青苔归路，屧粉衣香何处。消息竟沉沉，今夜相思几许。秋雨，秋雨，一半因风吹去。木叶纷纷归路，残月晓风何处。消息竟沉沉，今夜相思几许。秋雨，秋雨，一半因风吹去。
写景,写人 一半残阳下小楼，朱帘斜控软金钩。倚阑无绪不能愁。有个盈盈骑马过，薄妆浅黛亦风流。见人羞涩却回头。
边塞,抒情,思乡 雁帖寒云次第飞，向南犹自怨归迟。谁能瘦马关山道，又到西风扑鬓时。人杳杳，思依依，更无芳树有乌啼。凭将扫黛窗前月，持向今宵照别离。
春天 惊晓漏，护春眠。格外娇慵只自怜。寄语酿花风日好，绿窗来与上琴弦。
婉约,闺怨 春浅，红怨，掩双环。微雨花间，昼闲。无言暗将红泪弹。阑珊，香销轻梦还。斜倚画屏思往事，皆不是，空作相思字。记当时垂柳丝，花枝，满庭蝴蝶儿。
写景,抒情,思念 红影湿幽窗，瘦尽春光。雨余花外却斜阳。谁见薄衫低髻子，抱膝思量。莫道不凄凉，早近持觞。暗思何事断人肠。曾是向他春梦里，瞥遇回廊。
抒情 将愁不去，秋色行难住。六曲屏山深院宇。日日风风雨雨。雨晴篱菊初香，人言此日重阳。回首凉云暮叶，黄昏无限思量。
写景,抒情 春云吹散湘帘雨，絮黏蝴蝶飞还住。人在玉楼中，楼高四面风。柳烟丝一把，暝色笼鸳瓦。休近小阑干，夕阳无限山。
爱情 土花曾染湘娥黛，铅泪难消。清韵谁敲，不是犀椎是凤翘。只应长伴端溪紫，割取秋潮。鹦鹉偷教，方响前头见玉萧。
咏物,柳树,抒情 三眠未歇，乍到秋时节。一树斜阳蝉更咽，曾绾灞陵离别。絮己为萍风卷叶，空凄切。长条莫轻折，苏小恨、倩他说。尽飘零、游冶章台客。红板桥空，溅裙人去，依旧晓风残月。
写景 阑风伏雨催寒食，樱桃一夜花狼藉。刚与病相宜，锁窗薰绣衣。画眉烦女伴，央及流莺唤。半晌试开奁，娇多直自嫌。
边塞,写景,抒情,思乡 黄云紫塞三千里，女墙西畔啼乌起。落日万山寒，萧萧猎马还。笳声听不得，入夜空城黑。秋梦不归家，残灯落碎花。
边塞,写景 古木向人秋，惊蓬掠鬓稠。是重阳、何处堪愁。记得当年惆怅事，正风雨，下南楼。断梦几能留，香魂一哭休。怪凉蟾、空满衾禂。霜落鸟啼浑不睡，偏想出，旧风流。
写景,抒情 风紧雁行高，无边落木萧萧。楚天魂梦与香消，青山暮暮朝朝。断续凉云来一缕，飘堕几丝灵雨。今夜冷红浦溆，鸳鸯栖向何处？
写人 鬓云松，红玉莹。早月多情，送过梨花影。半饷斜钗慵未整，晕入轻潮，刚爱微风醒。露华清，人语静。怕被郎窥，移却青鸾镜。罗袜凌波波不定，小扇单衣，可耐星前冷。
写景,边塞 蜃阙半模糊，踏浪惊呼。任将蠡测笑江湖。沐日光华还浴月，我欲乘桴。钓得六鳖无。竿拂珊瑚。桑田清浅问麻姑。水气浮天天接水，那是蓬壶。
思乡 一种蛾眉，下弦不似初弦好。庾郎未老，何事伤心早？素壁斜辉，竹影横窗扫。空房悄，乌啼欲晓，又下西楼了。
写景,抒情 微晕娇花湿欲流，簟纹灯影一生愁。梦回疑在远山楼。残月暗窥金屈戍，软风徐荡玉帘钩。待听邻女唤梳头。
离别 帘外五更风，消受晓寒时节。刚剩秋衾一半，拥透帘残月。争教清泪不成冰？好处便轻别。拟把伤离情绪，待晓寒重说。
写水,边塞,抒情 泠泠彻夜，谁是知音者。如梦前朝何处也，一曲边愁难写。极天关塞云中，人随落雁西风。唤取红襟翠袖，莫教泪洒英雄。
写花,抒情 桃花羞作无情死，感激东风。吹落娇红，飞入闲窗伴懊侬。谁怜辛苦东阳瘦，也为春慵。不及芙蓉，一片幽情冷处浓。
咏物 霜冷离鸿惊失伴，有人同病相怜。拟凭尺素寄愁边，愁多书屡易，双泪落灯前。莫对月明思往事，也知消减年年。无端嘹唳一声传，西风吹只影，刚是早秋天。
写景 麦浪翻晴风飐柳，已过伤春候。因甚为他成僝僽？毕竟是春迤逗。红药阑边携素手，暖语浓于酒。盼到园花铺似绣，却更比春前瘦。
抒情 湿云全压数峰低。影凄迷，望中疑。非雾非烟，神女欲来时、若问生涯原是梦，除梦里，没人知。
抒情 倚柳题笺，当花侧帽，赏心应比驱驰好。错教双鬓受东风，看吹绿影成丝早。金殿寒鸦，玉阶春草，就中冷暖和谁道。小楼明月镇长闲，人生何事缁尘老。
写景,抒情 何处？几叶萧萧雨。湿尽檐花，花底无人语。掩屏山，玉炉寒。谁见两眉愁聚倚阑干。
写花,梅花 莫把琼花比澹妆，谁似白霓裳。别样清幽，自然标格，莫近东墙。冰肌玉骨天分付，兼付与凄凉。可怜遥夜，冷烟和月，疏影横窗。
写人 黄昏又听城头角，病起心情恶。药炉初沸短檠青，无那残香半缕恼多情。多情自古原多病，清镜怜清影。一声弹指泪如丝，央及东风休遣玉人知。
写景 为春憔悴留春住，那禁半霎催归雨。深巷卖樱桃，雨余红更娇。黄昏清泪阁，忍便花飘泊。消得一声莺，东风三月情。
写景 东风不解愁，偷展湘裙衩。独夜背纱笼，影著纤腰画。爇尽水沉烟，露滴鸳鸯瓦。花骨冷宜香，小立樱桃下。
咏物,抒情 别样幽芬，更无浓艳催开处。凌波欲去，且为东风住。忒煞萧疏，争奈秋如许。还留取，冷香半缕，第一湘江雨。
